"HPI for states (All-Transactions Index)
Experimental Indexes Showing Cumulative (Nominal) Annual Appreciation",,,,,,,,
,,,,,,,,
"* These annual state indexes should be considered developmental. As with the standard FHFA HPIs, revisions to these indexes may reflect the impact of new data or technical adjustments. Indexes are calibrated using appraisal values and sales prices for mortgages bought or guaranteed by Fannie Mae and Freddie Mac. In cases where sample sizes are small for the state, an index is either not reported if recording has not started or a missing value is reported with a period ("".""). Index values always reflect only that native state, i.e. they are not made with data from another area or year. Three HPI values are provided and, since the indexes reflect cumulative appreciation since a certain period, the values reflect the base year being used (annual appreciations are the same). Column A is the state name, Column B is the state abbreviation, Column C is the state FIPS code, Column D is the year, Column E is the annual change, Column F is the index value with a base of 100 when first recorded, Column G is the index value with a base of 100 in 1990, and Column H is the index value with a base of 100 in 2000. If a state HPI has a missing value in Column F in 1990 or 2000 then the state HPI will have blank values in Column G or H, respectively.",,,,,,,,
"** For tracking and feedback purposes, please cite one of the associated papers. Three FHFA working papers (WP 16-01, WP 16-02, and WP 16-04) discuss different aspects of the data and each have been published by journals. A suggested citation is: Bogin, Alexander N., Doerner, William M. and Larson, William D. (2019). ""Local House Price Dynamics: New Indices and Stylized Facts"". Real Estate Economics, volume 47, issue 2, pages 365-398. The initial FHFA WP 16-01 is accessible at http://www.fhfa.gov/papers/wp1601.aspx.",,,,,,,,
"Last updated: March 24, 2022.",,,,,,,,
Not Seasonally Adjusted (NSA) ,,,,,,,,
State,Abbreviation,FIPS,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base,
California,CA,06,2011,-5.66,741.79,158.46,133.64,
California,CA,06,2012,-0.13,740.79,158.25,133.46,
California,CA,06,2013,10.42,817.97,174.74,147.36,
California,CA,06,2014,13.80,930.87,198.85,167.70,
California,CA,06,2015,5.76,984.45,210.30,177.35,
California,CA,06,2016,7.80,1061.27,226.71,191.19,
California,CA,06,2017,6.42,1129.38,241.26,203.46,
California,CA,06,2018,6.41,1201.82,256.73,216.51,
California,CA,06,2019,3.30,1241.46,265.20,223.65,
California,CA,06,2020,2.36,1270.72,271.45,228.92,
California,CA,06,2021,12.61,1430.94,305.68,257.79,
Colorado,CO,08,1975,.,100.00,43.14,21.63,
Colorado,CO,08,1976,8.73,108.73,46.90,23.52,
Colorado,CO,08,1977,13.89,123.83,53.41,26.78,
Colorado,CO,08,1978,17.58,145.60,62.81,31.49,
Colorado,CO,08,1979,17.08,170.48,73.54,36.87,
Colorado,CO,08,1980,9.27,186.27,80.35,40.29,
Colorado,CO,08,1981,7.04,199.39,86.01,43.13,
Colorado,CO,08,1982,11.84,223.01,96.20,48.23,
Colorado,CO,08,1983,1.99,227.44,98.11,49.19,
Colorado,CO,08,1984,0.19,227.86,98.29,49.28,
Colorado,CO,08,1985,0.30,228.55,98.59,49.43,
Colorado,CO,08,1986,1.54,232.06,100.10,50.19,
Colorado,CO,08,1987,-1.07,229.58,99.03,49.65,
Colorado,CO,08,1988,-2.18,224.56,96.87,48.57,
Colorado,CO,08,1989,0.89,226.57,97.73,49.00,
Colorado,CO,08,1990,2.32,231.83,100.00,50.14,
Colorado,CO,08,1991,3.33,239.54,103.33,51.81,
Colorado,CO,08,1992,5.64,253.03,109.15,54.73,
Colorado,CO,08,1993,8.55,274.66,118.48,59.40,
Colorado,CO,08,1994,9.94,301.97,130.26,65.31,
Colorado,CO,08,1995,9.02,329.20,142.01,71.20,
Colorado,CO,08,1996,4.76,344.88,148.77,74.59,
Colorado,CO,08,1997,5.37,363.40,156.76,78.60,
Colorado,CO,08,1998,4.77,380.73,164.23,82.35,
Colorado,CO,08,1999,7.41,408.94,176.40,88.45,
Colorado,CO,08,2000,13.06,462.35,199.44,100.00,
Colorado,CO,08,2001,8.13,499.95,215.66,108.13,
Colorado,CO,08,2002,4.20,520.97,224.73,112.68,
Colorado,CO,08,2003,0.89,525.59,226.72,113.68,
Colorado,CO,08,2004,2.96,541.16,233.44,117.05,
Colorado,CO,08,2005,4.95,567.94,244.99,122.84,
Colorado,CO,08,2006,3.38,587.15,253.27,126.99,
Colorado,CO,08,2007,0.80,591.85,255.30,128.01,
Colorado,CO,08,2008,-1.10,585.32,252.48,126.60,
Colorado,CO,08,2009,-1.64,575.70,248.33,124.51,
